management,foundfam_owned,country,industry,comp_strength
3.88888883590698,0,Australia,food,high
2.94444441795349,1,Australia,lumber,low
4.05555534362793,0,Australia,electronic,low
2.38888883590698,0,Australia,milled,low
3.27777767181396,1,Australia,pri_metal,high
3.16666674613953,0,Australia,petrol,high
2.94444441795349,0,Australia,milled,med
2.88888883590698,0,Australia,food,low
3.16666674613953,0,Australia,pri_metal,low
2.33333325386047,0,Australia,fab_metal,low
3.16666674613953,0,Australia,stone,low
3.27777767181396,1,Australia,furniture,low
2.66666674613953,0,Australia,chemicals,med
3.61111116409302,0,Australia,transport,low
3.38888883590698,0,Australia,food,low
1.66666662693024,1,Australia,apparel,med
2.94444441795349,1,Australia,petrol,low
3.72222232818604,0,Australia,chemicals,low
3.44444441795349,0,Australia,furniture,high
2.61111116409302,0,Australia,food,low
3.44444441795349,0,Australia,chemicals,low
3.05555558204651,1,Australia,machinery,med
1.94444441795349,0,Australia,food,high
3.44444441795349,0,Australia,stone,low
4.0,0,Australia,food,low
2.5,1,Australia,fab_metal,high
2.88888883590698,0,Australia,stone,med
2.05555558204651,1,Australia,food,high
2.88888883590698,1,Australia,rubber,high
3.44444441795349,0,Australia,fab_metal,low
2.16666674613953,0,Australia,paper,med
3.05555558204651,0,Australia,machinery,high
2.22222232818604,0,Australia,electronic,high
4.05555534362793,0,Australia,chemicals,low
3.11111116409302,0,Australia,pri_metal,high
3.16666674613953,0,Australia,printing,low
3.27777767181396,1,Australia,rubber,med
3.55555558204651,0,Australia,food,high
2.5,0,Australia,food,low
3.22222232818604,0,Australia,fab_metal,med
2.11111116409302,1,Australia,food,high
3.22222232818604,1,Australia,machinery,high
3.22222232818604,0,Australia,machinery,low
3.83333325386047,0,Australia,transport,med
3.44444441795349,0,Australia,pri_metal,high
3.05555558204651,0,Australia,milled,high
2.11111116409302,1,Australia,transport,high
2.72222232818604,1,Australia,fab_metal,high
3.44444441795349,0,Australia,chemicals,med
2.5,1,Australia,food,high
3.44444441795349,0,Australia,transport,high
3.16666674613953,0,Australia,food,med
2.47058820724487,1,Australia,paper,high
2.0,1,Australia,misc_manuf,high
2.55555558204651,0,Australia,stone,med
3.38888883590698,0,Australia,transport,low
2.38888883590698,0,Australia,fab_metal,low
2.16666674613953,0,Australia,furniture,low
2.5,1,Australia,food,low
2.16666674613953,1,Australia,rubber,high
2.55555558204651,1,Australia,fab_metal,low
3.77777767181396,0,Australia,measurement,low
2.72222232818604,1,Australia,rubber,high
2.27777767181396,0,Australia,food,high
2.94444441795349,1,Australia,food,high
2.72222232818604,0,Australia,printing,med
2.22222232818604,0,Australia,food,low
3.66666674613953,0,Australia,measurement,high
2.61111116409302,0,Australia,machinery,low
3.11111116409302,1,Australia,machinery,low
3.33333325386047,0,Australia,stone,high
3.11111116409302,0,Australia,measurement,med
2.72222232818604,0,Australia,food,high
2.11111116409302,0,Australia,rubber,high
3.0,0,Australia,rubber,low
2.72222232818604,1,Australia,machinery,low
2.77777767181396,0,Australia,food,low
2.77777767181396,0,Australia,furniture,high
2.11111116409302,0,Australia,food,med
3.05555558204651,1,Australia,machinery,high
4.05555534362793,0,Australia,pri_metal,high
2.66666674613953,0,Australia,pri_metal,high
3.11111116409302,0,Australia,rubber,high
3.55555558204651,0,Australia,machinery,high
2.77777767181396,0,Australia,electronic,high
3.05555558204651,1,Australia,food,high
2.0,0,Australia,food,high
3.44444441795349,1,Australia,electronic,low
2.38888883590698,1,Australia,food,low
3.11111116409302,0,Australia,chemicals,high
3.11111116409302,0,Australia,machinery,med
2.16666674613953,0,Australia,chemicals,high
3.16666674613953,0,Australia,machinery,high
2.33333325386047,1,Australia,fab_metal,med
2.5,1,Australia,food,high
1.72222220897675,0,Australia,machinery,med
1.83333337306976,0,Australia,transport,high
3.27777767181396,0,Australia,electronic,high
3.66666674613953,0,Australia,machinery,high
2.72222232818604,1,Australia,fab_metal,med
1.83333337306976,1,Australia,fab_metal,high
3.33333325386047,0,Australia,lumber,high
3.22222232818604,1,Australia,rubber,med
2.5,1,Australia,food,low
4.05555534362793,1,Australia,electronic,high
3.05555558204651,0,Australia,fab_metal,med
2.55555558204651,1,Australia,pri_metal,high
3.22222232818604,0,Australia,rubber,high
2.88888883590698,0,Australia,food,high
3.05555558204651,0,Australia,electronic,low
2.66666674613953,0,Australia,stone,high
4.0,0,Australia,misc_manuf,med
3.05555558204651,0,Australia,pri_metal,high
3.16666674613953,0,Australia,fab_metal,high
3.33333325386047,0,Australia,apparel,high
3.38888883590698,0,Australia,food,high
3.27777767181396,0,Australia,machinery,high
3.05555558204651,0,Australia,food,med
3.66666674613953,1,Australia,pri_metal,med
2.72222232818604,0,Australia,machinery,med
3.0,0,Australia,food,med
2.38888883590698,1,Australia,furniture,high
2.72222232818604,0,Australia,milled,high
3.27777767181396,0,Australia,chemicals,low
2.38888883590698,1,Australia,transport,high
2.0,1,Australia,transport,low
3.22222232818604,1,Australia,lumber,high
3.27777767181396,0,Australia,machinery,low
2.11111116409302,0,Australia,printing,med
3.33333325386047,1,Australia,transport,med
2.94444441795349,1,Australia,machinery,high
1.33333337306976,0,Australia,fab_metal,low
4.05555534362793,1,Australia,electronic,high
3.11111116409302,1,Australia,food,low
3.22222232818604,0,Australia,rubber,high
2.72222232818604,1,Australia,lumber,med
1.11111116409302,1,Australia,rubber,low
3.0,1,Australia,rubber,low
3.38888883590698,1,Australia,furniture,med
2.55555558204651,1,Australia,fab_metal,high
3.16666674613953,0,Australia,paper,high
3.16666674613953,0,Australia,machinery,med
4.11111116409302,0,United States,rubber,high
2.61111116409302,0,Australia,apparel,high
3.0,0,Australia,stone,high
3.94444441795349,0,Australia,machinery,med
2.11111116409302,1,Australia,food,high
3.77777767181396,0,Australia,food,med
3.22222232818604,0,Australia,electronic,high
3.38888883590698,1,Australia,machinery,low
2.05555558204651,0,Australia,measurement,med
3.33333325386047,0,Australia,chemicals,low
3.5,0,Australia,transport,high
2.44444441795349,0,Australia,paper,high
3.77777767181396,1,Australia,fab_metal,med
2.33333325386047,0,Australia,food,high
3.77777767181396,0,Australia,stone,low
3.55555558204651,0,Australia,printing,high
2.5,0,Australia,transport,med
2.16666674613953,1,Australia,rubber,med
3.44444441795349,0,Australia,machinery,high
3.5,0,Australia,stone,low
2.11111116409302,0,Australia,machinery,low
1.66666662693024,0,Australia,pri_metal,low
3.83333325386047,0,Australia,electronic,med
2.0,0,Australia,transport,med
3.61111116409302,0,Australia,chemicals,low
2.72222232818604,1,Australia,food,high
3.0,0,Australia,machinery,high
2.61111116409302,1,Australia,furniture,high
3.33333325386047,0,Australia,machinery,high
4.44444465637207,0,Australia,pri_metal,high
3.55555558204651,0,Australia,chemicals,med
2.88888883590698,0,Australia,stone,med
2.16666674613953,0,Australia,stone,low
1.83333337306976,1,Australia,fab_metal,med
3.22222232818604,0,Australia,pri_metal,high
1.83333337306976,0,Australia,fab_metal,low
3.38888883590698,0,Australia,printing,low
3.16666674613953,0,Australia,chemicals,low
3.38888883590698,0,Australia,food,high
3.27777767181396,1,Australia,food,high
2.33333325386047,0,Australia,rubber,high
4.11111116409302,0,Australia,rubber,high
2.83333325386047,1,Australia,misc_manuf,low
3.0,1,Australia,leather,high
2.38888883590698,0,Australia,machinery,high
3.72222232818604,0,Australia,lumber,high
3.72222232818604,0,Australia,paper,med
3.94444441795349,1,Australia,printing,high
3.66666674613953,1,Australia,printing,high
2.94444441795349,0,Australia,food,high
2.94444441795349,0,Australia,rubber,high
3.66666674613953,0,Australia,food,high
3.83333325386047,1,Australia,food,high
2.11111116409302,0,United States,furniture,high
3.44444441795349,1,Australia,fab_metal,low
2.88888883590698,0,Australia,machinery,high
4.0,0,Australia,machinery,low
2.61111116409302,1,Australia,food,med
3.88888883590698,1,Australia,paper,high
2.44444441795349,1,Australia,food,high
2.61111116409302,0,Australia,paper,high
3.77777767181396,0,Australia,pri_metal,high
3.66666674613953,0,Australia,petrol,med
2.16666674613953,0,Australia,petrol,med
3.11764717102051,0,Australia,fab_metal,high
2.66666674613953,0,Australia,furniture,high
2.33333325386047,0,Australia,food,med
2.83333325386047,1,Australia,misc_manuf,high
2.16666674613953,1,Australia,electronic,high
3.33333325386047,0,Australia,chemicals,high
2.11111116409302,1,Australia,machinery,med
3.33333325386047,0,Australia,electronic,high
2.66666674613953,0,Australia,fab_metal,high
2.83333325386047,0,Australia,fab_metal,high
2.64705872535706,1,Australia,food,low
3.05555558204651,0,Australia,pri_metal,high
2.94444441795349,0,Australia,stone,high
3.33333325386047,0,Australia,paper,low
3.27777767181396,1,Australia,fab_metal,high
2.55555558204651,0,Australia,fab_metal,high
2.88888883590698,0,Australia,food,high
2.83333325386047,0,Australia,furniture,high
2.77777767181396,1,Australia,machinery,high
3.16666674613953,1,Australia,machinery,high
3.11111116409302,0,Australia,pri_metal,high
2.16666674613953,1,Australia,fab_metal,med
3.0,0,Australia,rubber,low
2.83333325386047,0,Australia,stone,high
3.22222232818604,1,Australia,machinery,high
2.55555558204651,1,Australia,lumber,high
3.22222232818604,1,Australia,stone,med
2.44444441795349,0,Australia,transport,high
3.16666674613953,1,Australia,food,high
2.38888883590698,0,Australia,lumber,high
2.5,1,Australia,misc_manuf,low
3.05555558204651,0,Australia,fab_metal,high
2.61111116409302,0,Australia,food,med
2.61111116409302,0,Australia,stone,med
2.72222232818604,0,United States,transport,low
2.88888883590698,0,Australia,fab_metal,med
3.16666674613953,0,New Zealand,chemicals,low
2.77777767181396,0,New Zealand,apparel,low
3.77777767181396,0,New Zealand,machinery,low
2.61111116409302,0,New Zealand,machinery,med
3.83333325386047,0,New Zealand,stone,low
3.44444441795349,0,New Zealand,electronic,high
2.11111116409302,1,New Zealand,machinery,high
3.05555558204651,0,New Zealand,food,high
3.77777767181396,1,New Zealand,machinery,med
3.33333325386047,0,New Zealand,milled,low
3.22222232818604,1,New Zealand,leather,high
3.05555558204651,0,New Zealand,stone,low
3.83333325386047,0,New Zealand,chemicals,high
3.05555558204651,1,New Zealand,stone,med
3.44444441795349,0,New Zealand,paper,low
2.33333325386047,0,United States,chemicals,high
3.11111116409302,0,United States,machinery,high
3.83333325386047,0,United States,paper,low
3.66666674613953,0,United States,electronic,high
2.11111116409302,1,United States,chemicals,med
3.27777767181396,1,United States,machinery,high
4.22222232818604,0,United States,measurement,high
2.88888883590698,1,United States,food,high
2.55555558204651,1,United States,machinery,high
3.38888883590698,0,United States,machinery,high
4.77777767181396,0,United States,measurement,high
2.77777767181396,0,United States,machinery,high
2.61111116409302,0,United States,food,high
1.66666662693024,1,United States,electronic,high
3.27777767181396,0,United States,electronic,high
3.66666674613953,0,United States,misc_manuf,high
2.55555558204651,1,United States,transport,high
3.16666674613953,1,United States,fab_metal,high
2.27777767181396,1,United States,fab_metal,high
2.66666674613953,0,United States,furniture,high
3.38888883590698,0,United States,lumber,high
2.33333325386047,0,United States,rubber,high
3.72222232818604,0,United States,measurement,high
2.85714292526245,0,United States,measurement,high
3.22222232818604,0,United States,fab_metal,low
3.0,1,United States,machinery,high
3.55555558204651,0,United States,misc_manuf,high
3.5,0,United States,chemicals,low
4.0,0,United States,machinery,med
3.72222232818604,1,United States,machinery,high
2.44444441795349,0,United States,measurement,med
3.05555558204651,1,United States,transport,med
3.38888883590698,0,United States,fab_metal,med
3.5,0,United States,electronic,low
3.44444441795349,0,United States,transport,med
2.94444441795349,0,United States,transport,high
2.64705872535706,0,United States,pri_metal,med
3.5,0,United States,transport,low
3.61111116409302,0,United States,measurement,high
2.72222232818604,0,United States,machinery,high
2.33333325386047,0,United States,measurement,high
4.11111116409302,1,United States,machinery,high
4.77777767181396,1,United States,leather,high
2.5,0,United States,pri_metal,high
3.05555558204651,0,United States,machinery,high
3.66666674613953,1,United States,misc_manuf,high
4.0,0,United States,electronic,med
2.88235282897949,0,United States,transport,high
2.61111116409302,0,New Zealand,chemicals,low
3.61111116409302,0,United States,rubber,med
2.88888883590698,0,United States,stone,low
3.27777767181396,0,United States,apparel,high
2.64705872535706,1,United States,fab_metal,high
4.16666650772095,0,United States,transport,med
2.47058820724487,0,United States,chemicals,high
3.88888883590698,0,United States,chemicals,low
3.0,0,United States,misc_manuf,high
2.94444441795349,0,United States,fab_metal,high
2.05882358551025,1,United States,fab_metal,high
3.88888883590698,0,United States,pri_metal,high
3.66666674613953,0,United States,misc_manuf,high
3.0,0,United States,measurement,high
1.61111116409302,1,United States,electronic,high
3.38888883590698,0,United States,measurement,low
3.05555558204651,0,Argentina,food,high
2.11111116409302,0,Argentina,chemicals,high
3.5,0,Argentina,tobacco,low
2.88888883590698,0,Argentina,tobacco,low
3.0,0,Argentina,electronic,high
2.88888883590698,1,Argentina,pri_metal,low
2.38888883590698,1,Argentina,chemicals,low
2.66666674613953,1,Argentina,chemicals,high
